eventID ,case LoanGoal,case ApplicationType,case concept:name,case RequestedAmount,event Action,event org:resource,event concept:name,event EventOrigin,event EventID,event lifecycle:transition,event time:timestamp
25769803781,Existing loan takeover,New credit,Application_1266995739,7000,statechange,User_1,A_Concept,Application,ApplState_287418819,complete,23:29.5
30064771072,Home improvement,New credit,Application_1878239836,15000,Created,User_1,A_Create Application,Application,Application_1878239836,complete,35:26.4
30064771073,Home improvement,New credit,Application_1878239836,15000,statechange,User_1,A_Submitted,Application,ApplState_649299817,complete,35:26.5
30064771074,Home improvement,New credit,Application_1878239836,15000,Created,User_1,W_Handle leads,Workflow,Workitem_1693495632,schedule,35:26.7
30064771075,Home improvement,New credit,Application_1878239836,15000,Deleted,User_1,W_Handle leads,Workflow,Workitem_1080257214,withdraw,36:31.0
30064771076,Home improvement,New credit,Application_1878239836,15000,Created,User_1,W_Complete application,Workflow,Workitem_1531288681,schedule,36:31.0
30064771077,Home improvement,New credit,Application_1878239836,15000,statechange,User_1,A_Concept,Application,ApplState_70781426,complete,36:31.0
34359738368,Car,New credit,Application_619403287,15000,Created,User_1,A_Create Application,Application,Application_619403287,complete,13:16.1
34359738369,Car,New credit,Application_619403287,15000,statechange,User_1,A_Submitted,Application,ApplState_1207742536,complete,13:16.1
34359738370,Car,New credit,Application_619403287,15000,Created,User_1,W_Handle leads,Workflow,Workitem_2007616906,schedule,13:16.4
34359738371,Car,New credit,Application_619403287,15000,Deleted,User_1,W_Handle leads,Workflow,Workitem_993441789,withdraw,14:33.8
34359738372,Car,New credit,Application_619403287,15000,Created,User_1,W_Complete application,Workflow,Workitem_1343236029,schedule,14:33.8
34359738373,Car,New credit,Application_619403287,15000,statechange,User_1,A_Concept,Application,ApplState_1877855588,complete,14:33.9
38654705664,Car,New credit,Application_1710223761,11000,Created,User_1,A_Create Application,Application,Application_1710223761,complete,23:21.3
38654705665,Car,New credit,Application_1710223761,11000,statechange,User_1,A_Submitted,Application,ApplState_575564150,complete,23:21.4
38654705666,Car,New credit,Application_1710223761,11000,Created,User_1,W_Handle leads,Workflow,Workitem_614526052,schedule,23:21.7
38654705667,Car,New credit,Application_1710223761,11000,Deleted,User_1,W_Handle leads,Workflow,Workitem_963622468,withdraw,24:54.5
38654705668,Car,New credit,Application_1710223761,11000,Created,User_1,W_Complete application,Workflow,Workitem_268897758,schedule,24:54.5
38654705669,Car,New credit,Application_1710223761,11000,statechange,User_1,A_Concept,Application,ApplState_1784923327,complete,24:54.5
42949672960,"Other, see explanation",New credit,Application_1529124572,5000,Created,User_1,A_Create Application,Application,Application_1529124572,complete,42:36.7
42949672961,"Other, see explanation",New credit,Application_1529124572,5000,statechange,User_1,A_Submitted,Application,ApplState_1427234050,complete,42:36.8
42949672962,"Other, see explanation",New credit,Application_1529124572,5000,Created,User_1,W_Handle leads,Workflow,Workitem_594656343,schedule,42:37.1
42949672963,"Other, see explanation",New credit,Application_1529124572,5000,Deleted,User_1,W_Handle leads,Workflow,Workitem_110419263,withdraw,43:30.7
42949672964,"Other, see explanation",New credit,Application_1529124572,5000,Created,User_1,W_Complete application,Workflow,Workitem_289490153,schedule,43:30.8
42949672965,"Other, see explanation",New credit,Application_1529124572,5000,statechange,User_1,A_Concept,Application,ApplState_1003788210,complete,43:30.8
47244640256,"Other, see explanation",New credit,Application_387012864,5000,Created,User_1,A_Create Application,Application,Application_387012864,complete,00:01.4
47244640257,"Other, see explanation",New credit,Application_387012864,5000,statechange,User_1,A_Submitted,Application,ApplState_587211695,complete,00:01.4
47244640258,"Other, see explanation",New credit,Application_387012864,5000,Created,User_1,W_Handle leads,Workflow,Workitem_1856767053,schedule,00:01.6
47244640259,"Other, see explanation",New credit,Application_387012864,5000,Deleted,User_1,W_Handle leads,Workflow,Workitem_1532575372,withdraw,01:36.5
47244640260,"Other, see explanation",New credit,Application_387012864,5000,Created,User_1,W_Complete application,Workflow,Workitem_1111825947,schedule,01:36.5
47244640261,"Other, see explanation",New credit,Application_387012864,5000,statechange,User_1,A_Concept,Application,ApplState_1788519445,complete,01:36.5
51539607552,Car,New credit,Application_1120819670,6850,Created,User_1,A_Create Application,Application,Application_1120819670,complete,22:50.5
51539607553,Car,New credit,Application_1120819670,6850,statechange,User_1,A_Submitted,Application,ApplState_1884976310,complete,22:50.6
51539607554,Car,New credit,Application_1120819670,6850,Created,User_1,W_Handle leads,Workflow,Workitem_2108699659,schedule,22:50.9
51539607555,Car,New credit,Application_1120819670,6850,Deleted,User_1,W_Handle leads,Workflow,Workitem_1970934832,withdraw,23:36.1
51539607556,Car,New credit,Application_1120819670,6850,Created,User_1,W_Complete application,Workflow,Workitem_415518642,schedule,23:36.1
51539607557,Car,New credit,Application_1120819670,6850,statechange,User_1,A_Concept,Application,ApplState_1970342959,complete,23:36.1
55834574848,Existing loan takeover,New credit,Application_42838382,29500,Created,User_1,A_Create Application,Application,Application_42838382,complete,58:48.8
55834574849,Existing loan takeover,New credit,Application_42838382,29500,statechange,User_1,A_Submitted,Application,ApplState_1364915147,complete,58:48.8
55834574850,Existing loan takeover,New credit,Application_42838382,29500,Created,User_1,W_Handle leads,Workflow,Workitem_991596960,schedule,58:49.0
55834574851,Existing loan takeover,New credit,Application_42838382,29500,Deleted,User_1,W_Handle leads,Workflow,Workitem_1341087871,withdraw,59:29.7
55834574852,Existing loan takeover,New credit,Application_42838382,29500,Created,User_1,W_Complete application,Workflow,Workitem_465973570,schedule,59:29.7
55834574853,Existing loan takeover,New credit,Application_42838382,29500,statechange,User_1,A_Concept,Application,ApplState_1041069551,complete,59:29.7
60129542144,Home improvement,New credit,Application_180547487,6000,Created,User_1,A_Create Application,Application,Application_180547487,complete,04:16.7
60129542145,Home improvement,New credit,Application_180547487,6000,statechange,User_1,A_Submitted,Application,ApplState_649214987,complete,04:16.8
60129542146,Home improvement,New credit,Application_180547487,6000,Created,User_1,W_Handle leads,Workflow,Workitem_250816843,schedule,04:17.0
60129542147,Home improvement,New credit,Application_180547487,6000,Deleted,User_1,W_Handle leads,Workflow,Workitem_267125598,withdraw,05:29.6
60129542148,Home improvement,New credit,Application_180547487,6000,Created,User_1,W_Complete application,Workflow,Workitem_1542061975,schedule,05:29.6
60129542149,Home improvement,New credit,Application_180547487,6000,statechange,User_1,A_Concept,Application,ApplState_460002192,complete,05:29.6
64424509440,Remaining debt home,New credit,Application_1966208034,40000,Created,User_1,A_Create Application,Application,Application_1966208034,complete,06:50.7
64424509441,Remaining debt home,New credit,Application_1966208034,40000,statechange,User_1,A_Submitted,Application,ApplState_1855507567,complete,06:50.7
64424509442,Remaining debt home,New credit,Application_1966208034,40000,Created,User_1,W_Handle leads,Workflow,Workitem_908904121,schedule,06:51.1
64424509443,Remaining debt home,New credit,Application_1966208034,40000,Deleted,User_1,W_Handle leads,Workflow,Workitem_1931724944,withdraw,08:20.4
64424509444,Remaining debt home,New credit,Application_1966208034,40000,Created,User_1,W_Complete application,Workflow,Workitem_1828222550,schedule,08:20.4
64424509445,Remaining debt home,New credit,Application_1966208034,40000,statechange,User_1,A_Concept,Application,ApplState_594539727,complete,08:20.4
68719476736,Car,New credit,Application_1806387393,5000,Created,User_1,A_Create Application,Application,Application_1806387393,complete,58:26.2
68719476737,Car,New credit,Application_1806387393,5000,statechange,User_1,A_Submitted,Application,ApplState_219633904,complete,58:26.2
68719476738,Car,New credit,Application_1806387393,5000,Created,User_1,W_Handle leads,Workflow,Workitem_1241150610,schedule,58:26.5
73014444032,Not speficied,New credit,Application_1111870538,5000,Created,User_1,A_Create Application,Application,Application_1111870538,complete,13:17.4
73014444033,Not speficied,New credit,Application_1111870538,5000,statechange,User_1,A_Submitted,Application,ApplState_1224473693,complete,13:17.4
73014444034,Not speficied,New credit,Application_1111870538,5000,Created,User_1,W_Handle leads,Workflow,Workitem_1355423985,schedule,13:17.7
73014444035,Not speficied,New credit,Application_1111870538,5000,Deleted,User_1,W_Handle leads,Workflow,Workitem_355812133,withdraw,13:53.2
73014444036,Not speficied,New credit,Application_1111870538,5000,Created,User_1,W_Complete application,Workflow,Workitem_1164338764,schedule,13:53.2
73014444037,Not speficied,New credit,Application_1111870538,5000,statechange,User_1,A_Concept,Application,ApplState_1667592697,complete,13:53.2
77309411328,Car,New credit,Application_1017492916,15000,Created,User_1,A_Create Application,Application,Application_1017492916,complete,18:44.0
77309411329,Car,New credit,Application_1017492916,15000,statechange,User_1,A_Submitted,Application,ApplState_1185546975,complete,18:44.0
77309411330,Car,New credit,Application_1017492916,15000,Created,User_1,W_Handle leads,Workflow,Workitem_717717674,schedule,18:44.5
77309411331,Car,New credit,Application_1017492916,15000,Deleted,User_1,W_Handle leads,Workflow,Workitem_941266706,withdraw,19:56.9
77309411332,Car,New credit,Application_1017492916,15000,Created,User_1,W_Complete application,Workflow,Workitem_1717295011,schedule,19:56.9
77309411333,Car,New credit,Application_1017492916,15000,statechange,User_1,A_Concept,Application,ApplState_1430393616,complete,19:56.9
81604378624,Existing loan takeover,New credit,Application_2082119944,15000,Created,User_1,A_Create Application,Application,Application_2082119944,complete,14:25.8
81604378625,Existing loan takeover,New credit,Application_2082119944,15000,statechange,User_1,A_Submitted,Application,ApplState_1866103021,complete,14:25.8
81604378626,Existing loan takeover,New credit,Application_2082119944,15000,Created,User_1,W_Handle leads,Workflow,Workitem_337408524,schedule,14:26.2
81604378627,Existing loan takeover,New credit,Application_2082119944,15000,Deleted,User_1,W_Handle leads,Workflow,Workitem_148338280,withdraw,16:02.6
81604378628,Existing loan takeover,New credit,Application_2082119944,15000,Created,User_1,W_Complete application,Workflow,Workitem_582421362,schedule,16:02.6
81604378629,Existing loan takeover,New credit,Application_2082119944,15000,statechange,User_1,A_Concept,Application,ApplState_2055923239,complete,16:02.6
85899345920,Not speficied,New credit,Application_758985626,17000,Created,User_1,A_Create Application,Application,Application_758985626,complete,24:12.5
85899345921,Not speficied,New credit,Application_758985626,17000,statechange,User_1,A_Submitted,Application,ApplState_1032886526,complete,24:12.5
85899345922,Not speficied,New credit,Application_758985626,17000,Created,User_1,W_Handle leads,Workflow,Workitem_1269145967,schedule,24:12.9
85899345923,Not speficied,New credit,Application_758985626,17000,Deleted,User_1,W_Handle leads,Workflow,Workitem_1230304011,withdraw,25:01.4
85899345924,Not speficied,New credit,Application_758985626,17000,Created,User_1,W_Complete application,Workflow,Workitem_654742586,schedule,25:01.4
85899345925,Not speficied,New credit,Application_758985626,17000,statechange,User_1,A_Concept,Application,ApplState_708360321,complete,25:01.4
90194313216,Home improvement,New credit,Application_1018615109,17000,Created,User_1,A_Create Application,Application,Application_1018615109,complete,57:30.2
90194313217,Home improvement,New credit,Application_1018615109,17000,statechange,User_1,A_Submitted,Application,ApplState_1658343773,complete,57:30.3
90194313218,Home improvement,New credit,Application_1018615109,17000,Created,User_1,W_Handle leads,Workflow,Workitem_1510422474,schedule,57:30.5
90194313219,Home improvement,New credit,Application_1018615109,17000,Deleted,User_1,W_Handle leads,Workflow,Workitem_1278922523,withdraw,58:53.6
90194313220,Home improvement,New credit,Application_1018615109,17000,Created,User_1,W_Complete application,Workflow,Workitem_916127696,schedule,58:53.6
90194313221,Home improvement,New credit,Application_1018615109,17000,statechange,User_1,A_Concept,Application,ApplState_1435115281,complete,58:53.6
94489280512,Car,New credit,Application_319587802,7000,Created,User_1,A_Create Application,Application,Application_319587802,complete,08:49.6
94489280513,Car,New credit,Application_319587802,7000,statechange,User_1,A_Submitted,Application,ApplState_2095516654,complete,08:49.6
94489280514,Car,New credit,Application_319587802,7000,Created,User_1,W_Handle leads,Workflow,Workitem_1604003555,schedule,08:49.8
98784247808,Car,New credit,Application_1846626914,5000,Created,User_1,A_Create Application,Application,Application_1846626914,complete,57:01.7
98784247809,Car,New credit,Application_1846626914,5000,statechange,User_1,A_Submitted,Application,ApplState_1455015421,complete,57:01.7
98784247810,Car,New credit,Application_1846626914,5000,Created,User_1,W_Handle leads,Workflow,Workitem_1432557025,schedule,57:02.2
1.03079E+11,Home improvement,New credit,Application_546206358,10000,Created,User_1,A_Create Application,Application,Application_546206358,complete,57:03.6
1.03079E+11,Home improvement,New credit,Application_546206358,10000,statechange,User_1,A_Submitted,Application,ApplState_254307635,complete,57:03.6
1.03079E+11,Home improvement,New credit,Application_546206358,10000,Created,User_1,W_Handle leads,Workflow,Workitem_919961262,schedule,57:03.8
98784247811,Car,New credit,Application_1846626914,5000,Deleted,User_1,W_Handle leads,Workflow,Workitem_573684770,withdraw,58:40.8
98784247812,Car,New credit,Application_1846626914,5000,Created,User_1,W_Complete application,Workflow,Workitem_2015515667,schedule,58:40.8
98784247813,Car,New credit,Application_1846626914,5000,statechange,User_1,A_Concept,Application,ApplState_570676058,complete,58:40.8
1.03079E+11,Home improvement,New credit,Application_546206358,10000,Deleted,User_1,W_Handle leads,Workflow,Workitem_527833094,withdraw,59:10.8
1.03079E+11,Home improvement,New credit,Application_546206358,10000,Created,User_1,W_Complete application,Workflow,Workitem_1155752186,schedule,59:10.8
1.03079E+11,Home improvement,New credit,Application_546206358,10000,statechange,User_1,A_Concept,Application,ApplState_1801804895,complete,59:10.8
12884901891,Car,New credit,Application_1746793196,5000,Obtained,User_17,W_Handle leads,Workflow,Workitem_1237205341,start,05:02.7
12884901892,Car,New credit,Application_1746793196,5000,Deleted,User_17,W_Handle leads,Workflow,Workitem_548358991,complete,06:04.2
12884901893,Car,New credit,Application_1746793196,5000,Created,User_17,W_Complete application,Workflow,Workitem_30082251,schedule,06:04.2
12884901894,Car,New credit,Application_1746793196,5000,Obtained,User_17,W_Complete application,Workflow,Workitem_353014927,start,06:04.2
12884901895,Car,New credit,Application_1746793196,5000,statechange,User_17,A_Concept,Application,ApplState_694592100,complete,06:04.2
12884901896,Car,New credit,Application_1746793196,5000,Released,User_17,W_Complete application,Workflow,Workitem_399410514,suspend,06:08.6
1.07374E+11,Car,New credit,Application_196483749,10000,Created,User_17,A_Create Application,Application,Application_196483749,complete,12:07.5
1.07374E+11,Car,New credit,Application_196483749,10000,Created,User_17,W_Complete application,Workflow,Workitem_590624247,schedule,12:07.5
1.07374E+11,Car,New credit,Application_196483749,10000,Obtained,User_17,W_Complete application,Workflow,Workitem_973930418,start,12:07.5
1.07374E+11,Car,New credit,Application_196483749,10000,statechange,User_17,A_Concept,Application,ApplState_369764295,complete,12:07.5
1.07374E+11,Car,New credit,Application_196483749,10000,statechange,User_17,A_Accepted,Application,ApplState_559296954,complete,15:31.9
1.07374E+11,Car,New credit,Application_196483749,10000,Created,User_17,O_Create Offer,Offer,Offer_247135719,complete,17:05.7
1.07374E+11,Car,New credit,Application_196483749,10000,statechange,User_17,O_Created,Offer,OfferState_124849367,complete,17:08.8
1.07374E+11,Car,New credit,Application_196483749,10000,statechange,User_17,O_Sent (online only),Offer,OfferState_440662877,complete,19:21.3
1.07374E+11,Car,New credit,Application_196483749,10000,Deleted,User_17,W_Complete application,Workflow,Workitem_1118320187,complete,19:21.4
1.07374E+11,Car,New credit,Application_196483749,10000,Created,User_17,W_Call after offers,Workflow,Workitem_311909068,schedule,19:21.4
1.07374E+11,Car,New credit,Application_196483749,10000,Obtained,User_17,W_Call after offers,Workflow,Workitem_4388575,start,19:21.4
1.07374E+11,Car,New credit,Application_196483749,10000,statechange,User_17,A_Complete,Application,ApplState_392574086,complete,19:21.4
1.07374E+11,Car,New credit,Application_196483749,10000,statechange,User_17,O_Cancelled,Offer,OfferState_591416028,complete,21:26.0
1.07374E+11,Car,New credit,Application_196483749,10000,Created,User_17,O_Create Offer,Offer,Offer_941964966,complete,21:42.0
1.07374E+11,Car,New credit,Application_196483749,10000,statechange,User_17,O_Created,Offer,OfferState_275382868,complete,21:43.6
1.07374E+11,Car,New credit,Application_196483749,10000,statechange,User_17,O_Sent (mail and online),Offer,OfferState_563158836,complete,22:09.4
1.11669E+11,Car,New credit,Application_1363980603,7500,Created,User_1,A_Create Application,Application,Application_1363980603,complete,24:04.1
1.11669E+11,Car,New credit,Application_1363980603,7500,statechange,User_1,A_Submitted,Application,ApplState_1778969638,complete,24:04.1
1.11669E+11,Car,New credit,Application_1363980603,7500,Created,User_1,W_Handle leads,Workflow,Workitem_404044321,schedule,24:04.8
1.11669E+11,Car,New credit,Application_1363980603,7500,Deleted,User_1,W_Handle leads,Workflow,Workitem_770879564,withdraw,24:52.1
1.11669E+11,Car,New credit,Application_1363980603,7500,Created,User_1,W_Complete application,Workflow,Workitem_311745573,schedule,24:52.1
1.11669E+11,Car,New credit,Application_1363980603,7500,statechange,User_1,A_Concept,Application,ApplState_1661140037,complete,24:52.1
1.07374E+11,Car,New credit,Application_196483749,10000,Created,User_17,O_Create Offer,Offer,Offer_1148420274,complete,26:43.6
1.07374E+11,Car,New credit,Application_196483749,10000,statechange,User_17,O_Created,Offer,OfferState_1323744692,complete,26:44.9
1.07374E+11,Car,New credit,Application_196483749,10000,statechange,User_17,O_Sent (mail and online),Offer,OfferState_1151067844,complete,26:57.4
1.15964E+11,Car,New credit,Application_1553362978,12000,Created,User_1,A_Create Application,Application,Application_1553362978,complete,27:03.8
1.15964E+11,Car,New credit,Application_1553362978,12000,statechange,User_1,A_Submitted,Application,ApplState_1876140883,complete,27:03.9
1.15964E+11,Car,New credit,Application_1553362978,12000,Created,User_1,W_Handle leads,Workflow,Workitem_1948144837,schedule,27:04.1
1.15964E+11,Car,New credit,Application_1553362978,12000,Deleted,User_1,W_Handle leads,Workflow,Workitem_424176549,withdraw,27:42.7
1.15964E+11,Car,New credit,Application_1553362978,12000,Created,User_1,W_Complete application,Workflow,Workitem_748632219,schedule,27:42.8
1.15964E+11,Car,New credit,Application_1553362978,12000,statechange,User_1,A_Concept,Application,ApplState_1652270022,complete,27:42.8
1.07374E+11,Car,New credit,Application_196483749,10000,Released,User_17,W_Call after offers,Workflow,Workitem_928880675,suspend,28:14.1
1.20259E+11,Home improvement,New credit,Application_1197857445,6000,Created,User_1,A_Create Application,Application,Application_1197857445,complete,33:11.2
1.20259E+11,Home improvement,New credit,Application_1197857445,6000,statechange,User_1,A_Submitted,Application,ApplState_1462316123,complete,33:11.3
1.20259E+11,Home improvement,New credit,Application_1197857445,6000,Created,User_1,W_Handle leads,Workflow,Workitem_1424421778,schedule,33:11.9
68719476739,Car,New credit,Application_1806387393,5000,Obtained,User_17,W_Handle leads,Workflow,Workitem_697100198,start,38:15.3
68719476740,Car,New credit,Application_1806387393,5000,Deleted,User_17,W_Handle leads,Workflow,Workitem_2140174115,complete,39:26.3
68719476741,Car,New credit,Application_1806387393,5000,Created,User_17,W_Complete application,Workflow,Workitem_1703359106,schedule,39:26.3
68719476742,Car,New credit,Application_1806387393,5000,Obtained,User_17,W_Complete application,Workflow,Workitem_1985699399,start,39:26.3
68719476743,Car,New credit,Application_1806387393,5000,statechange,User_17,A_Concept,Application,ApplState_125606026,complete,39:26.3
68719476744,Car,New credit,Application_1806387393,5000,Released,User_17,W_Complete application,Workflow,Workitem_1962194999,suspend,39:29.7
94489280515,Car,New credit,Application_319587802,7000,Obtained,User_17,W_Handle leads,Workflow,Workitem_141859534,start,42:05.8
94489280516,Car,New credit,Application_319587802,7000,Deleted,User_17,W_Handle leads,Workflow,Workitem_486772058,complete,43:10.0
94489280517,Car,New credit,Application_319587802,7000,Created,User_17,W_Complete application,Workflow,Workitem_1823081473,schedule,43:10.0
94489280518,Car,New credit,Application_319587802,7000,Obtained,User_17,W_Complete application,Workflow,Workitem_1119357256,start,43:10.0
94489280519,Car,New credit,Application_319587802,7000,statechange,User_17,A_Concept,Application,ApplState_578663800,complete,43:10.0
94489280520,Car,New credit,Application_319587802,7000,Released,User_17,W_Complete application,Workflow,Workitem_1082680549,suspend,43:13.0
1.20259E+11,Home improvement,New credit,Application_1197857445,6000,Obtained,User_17,W_Handle leads,Workflow,Workitem_1510265530,start,46:06.1
1.20259E+11,Home improvement,New credit,Application_1197857445,6000,Deleted,User_17,W_Handle leads,Workflow,Workitem_511074407,complete,46:40.3
1.20259E+11,Home improvement,New credit,Application_1197857445,6000,Created,User_17,W_Complete application,Workflow,Workitem_262590606,schedule,46:40.3
1.20259E+11,Home improvement,New credit,Application_1197857445,6000,Obtained,User_17,W_Complete application,Workflow,Workitem_64050694,start,46:40.3
1.20259E+11,Home improvement,New credit,Application_1197857445,6000,statechange,User_17,A_Concept,Application,ApplState_2020411868,complete,46:40.3
1.20259E+11,Home improvement,New credit,Application_1197857445,6000,Released,User_17,W_Complete application,Workflow,Workitem_1972215584,suspend,46:46.2
51539607558,Car,New credit,Application_1120819670,6850,statechange,User_17,A_Accepted,Application,ApplState_585252285,complete,52:01.8
51539607559,Car,New credit,Application_1120819670,6850,Created,User_17,O_Create Offer,Offer,Offer_1365106765,complete,55:46.4
51539607560,Car,New credit,Application_1120819670,6850,statechange,User_17,O_Created,Offer,OfferState_1700055433,complete,55:47.7
51539607561,Car,New credit,Application_1120819670,6850,statechange,User_17,O_Sent (mail and online),Offer,OfferState_16123997,complete,59:50.3
51539607562,Car,New credit,Application_1120819670,6850,Deleted,User_17,W_Complete application,Workflow,Workitem_1794012775,withdraw,59:50.3
51539607563,Car,New credit,Application_1120819670,6850,Created,User_17,W_Call after offers,Workflow,Workitem_2017386083,schedule,59:50.3
51539607564,Car,New credit,Application_1120819670,6850,Obtained,User_17,W_Call after offers,Workflow,Workitem_1736161340,start,59:50.3
51539607565,Car,New credit,Application_1120819670,6850,statechange,User_17,A_Complete,Application,ApplState_1586359212,complete,59:50.3
51539607566,Car,New credit,Application_1120819670,6850,Released,User_17,W_Call after offers,Workflow,Workitem_1445826335,suspend,02:05.9
1.24554E+11,Car,New credit,Application_931862671,6000,Created,User_1,A_Create Application,Application,Application_931862671,complete,15:48.2
1.24554E+11,Car,New credit,Application_931862671,6000,statechange,User_1,A_Submitted,Application,ApplState_943106344,complete,15:48.2
1.24554E+11,Car,New credit,Application_931862671,6000,Created,User_1,W_Handle leads,Workflow,Workitem_274154657,schedule,15:48.6
1.24554E+11,Car,New credit,Application_931862671,6000,Deleted,User_1,W_Handle leads,Workflow,Workitem_1797079389,withdraw,16:54.0
1.24554E+11,Car,New credit,Application_931862671,6000,Created,User_1,W_Complete application,Workflow,Workitem_569590470,schedule,16:54.0
1.24554E+11,Car,New credit,Application_931862671,6000,statechange,User_1,A_Concept,Application,ApplState_258522220,complete,16:54.0
1.28849E+11,Unknown,New credit,Application_2012588584,0,Created,User_17,A_Create Application,Application,Application_2012588584,complete,26:22.6
1.28849E+11,Unknown,New credit,Application_2012588584,0,Created,User_17,W_Complete application,Workflow,Workitem_1101669148,schedule,26:22.6
1.28849E+11,Unknown,New credit,Application_2012588584,0,Obtained,User_17,W_Complete application,Workflow,Workitem_1784577233,start,26:22.6
