eventID ,case concept:name,case REG_DATE,case AMOUNT_REQ,event concept:name,event lifecycle:transition,event time:timestamp
47244640256,173721,2011-10-01T11:07:34.279+02:00,9000,A_SUBMITTED,COMPLETE,07:34.3
47244640257,173721,2011-10-01T11:07:34.279+02:00,9000,A_PARTLYSUBMITTED,COMPLETE,07:34.9
47244640258,173721,2011-10-01T11:07:34.279+02:00,9000,A_PREACCEPTED,COMPLETE,08:17.1
47244640259,173721,2011-10-01T11:07:34.279+02:00,9000,W_Completeren aanvraag,SCHEDULE,08:17.5
47244640260,173721,2011-10-01T11:07:34.279+02:00,9000,W_Completeren aanvraag,START,09:08.6
47244640261,173721,2011-10-01T11:07:34.279+02:00,9000,A_ACCEPTED,COMPLETE,18:36.3
47244640263,173721,2011-10-01T11:07:34.279+02:00,9000,A_FINALIZED,COMPLETE,20:47.6
47244640262,173721,2011-10-01T11:07:34.279+02:00,9000,O_SELECTED,COMPLETE,20:47.6
47244640264,173721,2011-10-01T11:07:34.279+02:00,9000,O_CREATED,COMPLETE,20:49.0
47244640265,173721,2011-10-01T11:07:34.279+02:00,9000,O_SENT,COMPLETE,20:49.1
47244640266,173721,2011-10-01T11:07:34.279+02:00,9000,W_Nabellen offertes,SCHEDULE,20:49.2
47244640267,173721,2011-10-01T11:07:34.279+02:00,9000,W_Completeren aanvraag,COMPLETE,20:50.3
47244640268,173721,2011-10-01T11:07:34.279+02:00,9000,W_Nabellen offertes,START,21:20.8
47244640269,173721,2011-10-01T11:07:34.279+02:00,9000,W_Nabellen offertes,COMPLETE,22:52.5
47244640270,173721,2011-10-01T11:07:34.279+02:00,9000,W_Nabellen offertes,START,26:32.2
8589934596,173694,2011-10-01T08:10:30.287+02:00,7000,W_Completeren aanvraag,START,31:25.3
47244640271,173721,2011-10-01T11:07:34.279+02:00,9000,W_Nabellen offertes,COMPLETE,32:54.4
8589934597,173694,2011-10-01T08:10:30.287+02:00,7000,W_Completeren aanvraag,COMPLETE,35:59.6
4,173688,2011-10-01T00:38:44.546+02:00,20000,W_Completeren aanvraag,START,36:46.4
4294967300,173691,2011-10-01T08:08:58.256+02:00,5000,W_Completeren aanvraag,START,37:32.4
21474836484,173703,2011-10-01T09:45:25.806+02:00,13500,W_Completeren aanvraag,START,37:46.7
21474836485,173703,2011-10-01T09:45:25.806+02:00,13500,W_Completeren aanvraag,COMPLETE,40:24.1
30064771078,173709,2011-10-01T09:57:42.994+02:00,11000,W_Completeren aanvraag,START,40:40.1
5,173688,2011-10-01T00:38:44.546+02:00,20000,A_ACCEPTED,COMPLETE,42:43.3
30064771079,173709,2011-10-01T09:57:42.994+02:00,11000,W_Completeren aanvraag,COMPLETE,43:02.6
4294967301,173691,2011-10-01T08:08:58.256+02:00,5000,W_Completeren aanvraag,COMPLETE,43:13.2
38654705668,173715,2011-10-01T09:59:10.501+02:00,45000,W_Completeren aanvraag,START,44:00.2
7,173688,2011-10-01T00:38:44.546+02:00,20000,A_FINALIZED,COMPLETE,45:09.2
6,173688,2011-10-01T00:38:44.546+02:00,20000,O_SELECTED,COMPLETE,45:09.2
8,173688,2011-10-01T00:38:44.546+02:00,20000,O_CREATED,COMPLETE,45:11.2
9,173688,2011-10-01T00:38:44.546+02:00,20000,O_SENT,COMPLETE,45:11.4
10,173688,2011-10-01T00:38:44.546+02:00,20000,W_Nabellen offertes,SCHEDULE,45:11.6
11,173688,2011-10-01T00:38:44.546+02:00,20000,W_Completeren aanvraag,COMPLETE,45:13.9
38654705669,173715,2011-10-01T09:59:10.501+02:00,45000,W_Completeren aanvraag,COMPLETE,46:06.3
25769803783,173706,2011-10-01T09:45:37.274+02:00,18000,W_Completeren aanvraag,START,49:28.2
25769803784,173706,2011-10-01T09:45:37.274+02:00,18000,W_Completeren aanvraag,COMPLETE,50:14.5
25769803785,173706,2011-10-01T09:45:37.274+02:00,18000,W_Completeren aanvraag,START,50:21.5
51539607552,173724,2011-10-01T11:52:14.305+02:00,15000,A_SUBMITTED,COMPLETE,52:14.3
51539607553,173724,2011-10-01T11:52:14.305+02:00,15000,A_PARTLYSUBMITTED,COMPLETE,52:14.6
51539607554,173724,2011-10-01T11:52:14.305+02:00,15000,W_Afhandelen leads,SCHEDULE,53:00.7
25769803786,173706,2011-10-01T09:45:37.274+02:00,18000,W_Completeren aanvraag,COMPLETE,53:55.8
51539607555,173724,2011-10-01T11:52:14.305+02:00,15000,W_Afhandelen leads,START,04:34.3
55834574848,173727,2011-10-01T12:08:46.663+02:00,10000,A_SUBMITTED,COMPLETE,08:46.7
55834574849,173727,2011-10-01T12:08:46.663+02:00,10000,A_PARTLYSUBMITTED,COMPLETE,08:46.8
55834574850,173727,2011-10-01T12:08:46.663+02:00,10000,A_DECLINED,COMPLETE,09:30.4
51539607556,173724,2011-10-01T11:52:14.305+02:00,15000,W_Afhandelen leads,COMPLETE,12:27.6
12,173688,2011-10-01T00:38:44.546+02:00,20000,W_Nabellen offertes,START,15:41.3
13,173688,2011-10-01T00:38:44.546+02:00,20000,W_Nabellen offertes,COMPLETE,17:08.9
38654705670,173715,2011-10-01T09:59:10.501+02:00,45000,W_Completeren aanvraag,START,18:51.7
51539607557,173724,2011-10-01T11:52:14.305+02:00,15000,W_Afhandelen leads,START,19:56.7
51539607558,173724,2011-10-01T11:52:14.305+02:00,15000,A_PREACCEPTED,COMPLETE,20:54.1
51539607559,173724,2011-10-01T11:52:14.305+02:00,15000,W_Completeren aanvraag,SCHEDULE,20:54.1
51539607560,173724,2011-10-01T11:52:14.305+02:00,15000,W_Afhandelen leads,COMPLETE,20:55.5
38654705671,173715,2011-10-01T09:59:10.501+02:00,45000,A_ACCEPTED,COMPLETE,24:32.8
38654705672,173715,2011-10-01T09:59:10.501+02:00,45000,O_SELECTED,COMPLETE,30:20.6
38654705673,173715,2011-10-01T09:59:10.501+02:00,45000,A_FINALIZED,COMPLETE,30:20.6
38654705674,173715,2011-10-01T09:59:10.501+02:00,45000,O_CREATED,COMPLETE,30:21.8
38654705675,173715,2011-10-01T09:59:10.501+02:00,45000,O_SENT,COMPLETE,30:21.8
38654705676,173715,2011-10-01T09:59:10.501+02:00,45000,W_Nabellen offertes,SCHEDULE,30:21.9
38654705677,173715,2011-10-01T09:59:10.501+02:00,45000,W_Completeren aanvraag,COMPLETE,30:24.2
60129542144,173730,2011-10-01T12:36:08.943+02:00,15000,A_SUBMITTED,COMPLETE,36:08.9
60129542145,173730,2011-10-01T12:36:08.943+02:00,15000,A_PARTLYSUBMITTED,COMPLETE,36:09.2
60129542146,173730,2011-10-01T12:36:08.943+02:00,15000,A_PREACCEPTED,COMPLETE,36:59.3
60129542147,173730,2011-10-01T12:36:08.943+02:00,15000,W_Completeren aanvraag,SCHEDULE,36:59.7
64424509440,173733,2011-10-01T12:39:34.037+02:00,6000,A_SUBMITTED,COMPLETE,39:34.0
64424509441,173733,2011-10-01T12:39:34.037+02:00,6000,A_PARTLYSUBMITTED,COMPLETE,39:34.1
64424509442,173733,2011-10-01T12:39:34.037+02:00,6000,W_Afhandelen leads,SCHEDULE,40:14.8
21474836486,173703,2011-10-01T09:45:25.806+02:00,13500,W_Completeren aanvraag,START,40:27.0
34359738375,173712,2011-10-01T09:58:30.533+02:00,30000,W_Completeren aanvraag,START,59:13.8
68719476736,173736,2011-10-01T13:01:58.813+02:00,15000,A_SUBMITTED,COMPLETE,01:58.8
68719476737,173736,2011-10-01T13:01:58.813+02:00,15000,A_PARTLYSUBMITTED,COMPLETE,01:59.1
21474836487,173703,2011-10-01T09:45:25.806+02:00,13500,A_CANCELLED,COMPLETE,02:11.1
21474836488,173703,2011-10-01T09:45:25.806+02:00,13500,W_Completeren aanvraag,COMPLETE,02:12.6
68719476738,173736,2011-10-01T13:01:58.813+02:00,15000,A_PREACCEPTED,COMPLETE,02:44.3
68719476739,173736,2011-10-01T13:01:58.813+02:00,15000,W_Completeren aanvraag,SCHEDULE,02:44.6
34359738376,173712,2011-10-01T09:58:30.533+02:00,30000,W_Completeren aanvraag,COMPLETE,03:35.2
73014444032,173739,2011-10-01T13:12:58.663+02:00,10000,A_SUBMITTED,COMPLETE,12:58.7
73014444033,173739,2011-10-01T13:12:58.663+02:00,10000,A_PARTLYSUBMITTED,COMPLETE,12:58.9
73014444034,173739,2011-10-01T13:12:58.663+02:00,10000,A_PREACCEPTED,COMPLETE,13:42.1
73014444035,173739,2011-10-01T13:12:58.663+02:00,10000,W_Completeren aanvraag,SCHEDULE,13:42.5
51539607561,173724,2011-10-01T11:52:14.305+02:00,15000,W_Completeren aanvraag,START,24:12.1
51539607562,173724,2011-10-01T11:52:14.305+02:00,15000,W_Completeren aanvraag,COMPLETE,27:08.8
77309411328,173742,2011-10-01T13:44:12.626+02:00,6000,A_SUBMITTED,COMPLETE,44:12.6
77309411329,173742,2011-10-01T13:44:12.626+02:00,6000,A_PARTLYSUBMITTED,COMPLETE,44:12.8
77309411330,173742,2011-10-01T13:44:12.626+02:00,6000,W_Afhandelen leads,SCHEDULE,44:28.5
60129542148,173730,2011-10-01T12:36:08.943+02:00,15000,W_Completeren aanvraag,START,52:49.3
60129542149,173730,2011-10-01T12:36:08.943+02:00,15000,W_Completeren aanvraag,COMPLETE,55:32.0
51539607563,173724,2011-10-01T11:52:14.305+02:00,15000,W_Completeren aanvraag,START,01:52.5
51539607564,173724,2011-10-01T11:52:14.305+02:00,15000,W_Completeren aanvraag,COMPLETE,02:01.8
81604378624,173745,2011-10-01T14:08:16.293+02:00,2000,A_SUBMITTED,COMPLETE,08:16.3
81604378625,173745,2011-10-01T14:08:16.293+02:00,2000,A_PARTLYSUBMITTED,COMPLETE,08:16.5
81604378626,173745,2011-10-01T14:08:16.293+02:00,2000,W_Afhandelen leads,SCHEDULE,08:29.6
85899345920,173748,2011-10-01T14:09:16.087+02:00,5000,A_SUBMITTED,COMPLETE,09:16.1
85899345921,173748,2011-10-01T14:09:16.087+02:00,5000,A_PARTLYSUBMITTED,COMPLETE,09:16.3
85899345922,173748,2011-10-01T14:09:16.087+02:00,5000,W_Afhandelen leads,SCHEDULE,10:03.0
90194313216,173751,2011-10-01T14:14:39.442+02:00,10000,A_SUBMITTED,COMPLETE,14:39.4
90194313217,173751,2011-10-01T14:14:39.442+02:00,10000,A_PARTLYSUBMITTED,COMPLETE,14:39.7
90194313218,173751,2011-10-01T14:14:39.442+02:00,10000,A_PREACCEPTED,COMPLETE,15:21.1
90194313219,173751,2011-10-01T14:14:39.442+02:00,10000,W_Completeren aanvraag,SCHEDULE,15:21.5
4294967302,173691,2011-10-01T08:08:58.256+02:00,5000,W_Completeren aanvraag,START,27:57.8
4294967303,173691,2011-10-01T08:08:58.256+02:00,5000,A_ACCEPTED,COMPLETE,33:54.6
4294967305,173691,2011-10-01T08:08:58.256+02:00,5000,O_SELECTED,COMPLETE,35:46.0
4294967304,173691,2011-10-01T08:08:58.256+02:00,5000,A_FINALIZED,COMPLETE,35:46.0
4294967306,173691,2011-10-01T08:08:58.256+02:00,5000,O_CREATED,COMPLETE,35:47.5
4294967307,173691,2011-10-01T08:08:58.256+02:00,5000,O_SENT,COMPLETE,35:47.6
4294967308,173691,2011-10-01T08:08:58.256+02:00,5000,W_Nabellen offertes,SCHEDULE,35:47.7
4294967309,173691,2011-10-01T08:08:58.256+02:00,5000,W_Completeren aanvraag,COMPLETE,35:48.8
4294967310,173691,2011-10-01T08:08:58.256+02:00,5000,W_Nabellen offertes,START,36:13.4
4294967311,173691,2011-10-01T08:08:58.256+02:00,5000,W_Nabellen offertes,COMPLETE,36:25.8
94489280512,173754,2011-10-01T14:50:09.763+02:00,20000,A_SUBMITTED,COMPLETE,50:09.8
94489280513,173754,2011-10-01T14:50:09.763+02:00,20000,A_PARTLYSUBMITTED,COMPLETE,50:11.1
25769803787,173706,2011-10-01T09:45:37.274+02:00,18000,W_Completeren aanvraag,START,50:26.2
94489280514,173754,2011-10-01T14:50:09.763+02:00,20000,A_PREACCEPTED,COMPLETE,50:51.3
94489280515,173754,2011-10-01T14:50:09.763+02:00,20000,W_Completeren aanvraag,SCHEDULE,50:51.6
64424509443,173733,2011-10-01T12:39:34.037+02:00,6000,W_Afhandelen leads,START,54:11.9
64424509444,173733,2011-10-01T12:39:34.037+02:00,6000,A_DECLINED,COMPLETE,54:53.0
64424509445,173733,2011-10-01T12:39:34.037+02:00,6000,W_Afhandelen leads,COMPLETE,54:56.3
77309411331,173742,2011-10-01T13:44:12.626+02:00,6000,W_Afhandelen leads,START,54:59.8
77309411332,173742,2011-10-01T13:44:12.626+02:00,6000,A_PREACCEPTED,COMPLETE,56:21.3
77309411333,173742,2011-10-01T13:44:12.626+02:00,6000,W_Completeren aanvraag,SCHEDULE,56:21.3
77309411334,173742,2011-10-01T13:44:12.626+02:00,6000,W_Afhandelen leads,COMPLETE,56:22.3
25769803788,173706,2011-10-01T09:45:37.274+02:00,18000,A_DECLINED,COMPLETE,59:58.6
25769803789,173706,2011-10-01T09:45:37.274+02:00,18000,W_Completeren aanvraag,COMPLETE,00:02.5
98784247808,173757,2011-10-01T15:02:58.635+02:00,25000,A_SUBMITTED,COMPLETE,02:58.6
98784247809,173757,2011-10-01T15:02:58.635+02:00,25000,A_PARTLYSUBMITTED,COMPLETE,02:58.8
98784247810,173757,2011-10-01T15:02:58.635+02:00,25000,A_DECLINED,COMPLETE,03:36.2
51539607565,173724,2011-10-01T11:52:14.305+02:00,15000,W_Completeren aanvraag,START,12:31.9
60129542150,173730,2011-10-01T12:36:08.943+02:00,15000,W_Completeren aanvraag,START,14:58.5
60129542151,173730,2011-10-01T12:36:08.943+02:00,15000,W_Completeren aanvraag,COMPLETE,15:12.4
1.03E+11,173760,2011-10-01T15:15:17.454+02:00,32000,A_SUBMITTED,COMPLETE,15:17.5
51539607566,173724,2011-10-01T11:52:14.305+02:00,15000,W_Completeren aanvraag,COMPLETE,15:17.7
1.03E+11,173760,2011-10-01T15:15:17.454+02:00,32000,A_PARTLYSUBMITTED,COMPLETE,15:17.8
60129542152,173730,2011-10-01T12:36:08.943+02:00,15000,W_Completeren aanvraag,START,15:21.2
1.03E+11,173760,2011-10-01T15:15:17.454+02:00,32000,A_PREACCEPTED,COMPLETE,15:57.1
1.03E+11,173760,2011-10-01T15:15:17.454+02:00,32000,W_Completeren aanvraag,SCHEDULE,15:57.4
81604378627,173745,2011-10-01T14:08:16.293+02:00,2000,W_Afhandelen leads,START,19:46.9
81604378628,173745,2011-10-01T14:08:16.293+02:00,2000,A_PREACCEPTED,COMPLETE,21:26.2
81604378629,173745,2011-10-01T14:08:16.293+02:00,2000,W_Completeren aanvraag,SCHEDULE,21:26.3
81604378630,173745,2011-10-01T14:08:16.293+02:00,2000,W_Afhandelen leads,COMPLETE,21:27.4
85899345923,173748,2011-10-01T14:09:16.087+02:00,5000,W_Afhandelen leads,START,21:30.4
85899345924,173748,2011-10-01T14:09:16.087+02:00,5000,A_PREACCEPTED,COMPLETE,24:16.8
85899345925,173748,2011-10-01T14:09:16.087+02:00,5000,W_Completeren aanvraag,SCHEDULE,24:16.8
85899345926,173748,2011-10-01T14:09:16.087+02:00,5000,W_Afhandelen leads,COMPLETE,24:17.9
68719476740,173736,2011-10-01T13:01:58.813+02:00,15000,W_Completeren aanvraag,START,25:57.0
73014444036,173739,2011-10-01T13:12:58.663+02:00,10000,W_Completeren aanvraag,START,26:10.3
73014444037,173739,2011-10-01T13:12:58.663+02:00,10000,W_Completeren aanvraag,COMPLETE,27:27.9
90194313220,173751,2011-10-01T14:14:39.442+02:00,10000,W_Completeren aanvraag,START,27:54.6
60129542153,173730,2011-10-01T12:36:08.943+02:00,15000,W_Completeren aanvraag,COMPLETE,31:19.4
60129542154,173730,2011-10-01T12:36:08.943+02:00,15000,W_Completeren aanvraag,START,31:39.1
90194313221,173751,2011-10-01T14:14:39.442+02:00,10000,W_Completeren aanvraag,COMPLETE,34:03.4
94489280516,173754,2011-10-01T14:50:09.763+02:00,20000,W_Completeren aanvraag,START,34:08.6
60129542155,173730,2011-10-01T12:36:08.943+02:00,15000,A_ACCEPTED,COMPLETE,36:06.4
73014444038,173739,2011-10-01T13:12:58.663+02:00,10000,W_Completeren aanvraag,START,39:44.1
60129542156,173730,2011-10-01T12:36:08.943+02:00,15000,O_SELECTED,COMPLETE,40:08.3
60129542157,173730,2011-10-01T12:36:08.943+02:00,15000,A_FINALIZED,COMPLETE,40:08.3
68719476741,173736,2011-10-01T13:01:58.813+02:00,15000,W_Completeren aanvraag,COMPLETE,40:09.6
60129542158,173730,2011-10-01T12:36:08.943+02:00,15000,O_CREATED,COMPLETE,40:10.0
60129542159,173730,2011-10-01T12:36:08.943+02:00,15000,O_SENT,COMPLETE,40:10.0
60129542160,173730,2011-10-01T12:36:08.943+02:00,15000,W_Nabellen offertes,SCHEDULE,40:10.1
60129542161,173730,2011-10-01T12:36:08.943+02:00,15000,W_Completeren aanvraag,COMPLETE,40:12.3
73014444039,173739,2011-10-01T13:12:58.663+02:00,10000,W_Completeren aanvraag,COMPLETE,42:01.1
60129542162,173730,2011-10-01T12:36:08.943+02:00,15000,W_Nabellen offertes,START,43:00.2
77309411335,173742,2011-10-01T13:44:12.626+02:00,6000,W_Completeren aanvraag,START,43:28.9
94489280517,173754,2011-10-01T14:50:09.763+02:00,20000,W_Completeren aanvraag,COMPLETE,44:41.8
73014444040,173739,2011-10-01T13:12:58.663+02:00,10000,W_Completeren aanvraag,START,44:57.6
60129542163,173730,2011-10-01T12:36:08.943+02:00,15000,W_Nabellen offertes,COMPLETE,48:39.8
68719476742,173736,2011-10-01T13:01:58.813+02:00,15000,W_Completeren aanvraag,START,49:16.1
1.03E+11,173760,2011-10-01T15:15:17.454+02:00,32000,W_Completeren aanvraag,START,49:25.8
81604378631,173745,2011-10-01T14:08:16.293+02:00,2000,W_Completeren aanvraag,START,49:47.1
77309411336,173742,2011-10-01T13:44:12.626+02:00,6000,W_Completeren aanvraag,COMPLETE,50:01.0
73014444041,173739,2011-10-01T13:12:58.663+02:00,10000,A_ACCEPTED,COMPLETE,54:11.6
81604378632,173745,2011-10-01T14:08:16.293+02:00,2000,A_ACCEPTED,COMPLETE,55:34.0
68719476743,173736,2011-10-01T13:01:58.813+02:00,15000,W_Completeren aanvraag,COMPLETE,55:45.0
68719476744,173736,2011-10-01T13:01:58.813+02:00,15000,W_Completeren aanvraag,START,56:00.6
1.03E+11,173760,2011-10-01T15:15:17.454+02:00,32000,A_ACCEPTED,COMPLETE,56:34.7
73014444042,173739,2011-10-01T13:12:58.663+02:00,10000,O_SELECTED,COMPLETE,56:39.6
73014444043,173739,2011-10-01T13:12:58.663+02:00,10000,A_FINALIZED,COMPLETE,56:39.6
73014444044,173739,2011-10-01T13:12:58.663+02:00,10000,O_CREATED,COMPLETE,56:40.8
73014444045,173739,2011-10-01T13:12:58.663+02:00,10000,O_SENT,COMPLETE,56:40.8
73014444046,173739,2011-10-01T13:12:58.663+02:00,10000,W_Nabellen offertes,SCHEDULE,56:40.9
73014444047,173739,2011-10-01T13:12:58.663+02:00,10000,W_Completeren aanvraag,COMPLETE,56:43.0
85899345927,173748,2011-10-01T14:09:16.087+02:00,5000,W_Completeren aanvraag,START,56:55.8
85899345928,173748,2011-10-01T14:09:16.087+02:00,5000,W_Completeren aanvraag,COMPLETE,57:08.1
85899345929,173748,2011-10-01T14:09:16.087+02:00,5000,W_Completeren aanvraag,START,57:12.4
85899345930,173748,2011-10-01T14:09:16.087+02:00,5000,W_Completeren aanvraag,COMPLETE,57:18.1
94489280518,173754,2011-10-01T14:50:09.763+02:00,20000,W_Completeren aanvraag,START,57:20.6
81604378633,173745,2011-10-01T14:08:16.293+02:00,2000,O_SELECTED,COMPLETE,58:41.9
81604378634,173745,2011-10-01T14:08:16.293+02:00,2000,A_FINALIZED,COMPLETE,58:41.9
81604378635,173745,2011-10-01T14:08:16.293+02:00,2000,O_CREATED,COMPLETE,58:44.8
81604378636,173745,2011-10-01T14:08:16.293+02:00,2000,O_SENT,COMPLETE,58:44.9
